Problem,Dim,Time,Alg1,Alg2,Winner,F1,F2
ackley,6,2.2,generating_set_search,random_search,0,3.7697844845752115e-11,7.175133414650787
griewank,141,29.2,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,1,0.012320988875106575,0.0
rosenbrock,208,42.6,adaptive_de_rand_1_bin_radiuslimited,random_search,0,6.119948637418005e-12,1.9034656814051404e9
ackley,30,7.0,de_rand_2_bin,probabilistic_descent,0,3.552713678800501e-15,17.034606228794516
griewank,6,2.2,random_search,adaptive_de_rand_1_bin_radiuslimited,1,1.2587654933394752,0.012320988875106575
rosenbrock,13,3.6,probabilistic_descent,generating_set_search,1,2.4546358501468603e-12,7.339258151225464e-16
rastrigin,10,3.0,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,1,0.0,0.0
rosenbrock,7,2.4,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,1,8.787472709859661e-16,0.0
griewank,7,2.4,random_search,generating_set_search,1,3.714571839069421,0.007396040334114895
deceptive_cuccu2011_15_2,13,3.6,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,1,9.66903615696095e-21,0.0
rosenbrock,22,5.4,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,0,0.0,7.477177060046326e-16
griewank,22,5.4,probabilistic_descent,random_search,0,2.1094237467877974e-15,120.72060948972334
ackley,56,12.2,generating_set_search,probabilistic_descent,0,1.1516476661199704e-10,18.428572290605462
griewank,22,5.4,random_search,generating_set_search,1,143.3304511076756,0.0
griewank,25,6.0,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,1,0.0,0.0
rosenbrock,10,3.0,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,0,0.0,8.650078178924268e-16
griewank,55,12.0,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,1,0.0,0.0
ackley,158,32.6,de_rand_2_bin,adaptive_de_rand_1_bin_radiuslimited,1,12.277225674567365,1.042511178706309
griewank,6,2.2,probabilistic_descent,adaptive_de_rand_1_bin_radiuslimited,1,0.009864672061006274,0.0
rastrigin,57,12.4,de_rand_2_bin,adaptive_de_rand_1_bin_radiuslimited,1,459.32823953577827,10.944549628025925
rastrigin,26,6.2,de_rand_2_bin,probabilistic_descent,1,97.76764757456539,91.53578786715099
rosenbrock,6,2.2,adaptive_de_rand_1_bin_radiuslimited,random_search,0,0.0,2207.3000768712745
ackley,7,2.4,de_rand_2_bin,probabilistic_descent,0,0.0,1.9462120803837024e-10
rosenbrock,51,11.2,adaptive_de_rand_1_bin_radiuslimited,random_search,0,3.834603556472762e-29,1.2412827145925309e8
rosenbrock,135,28.0,random_search,adaptive_de_rand_1_bin_radiuslimited,1,1.0100806182837923e9,3.9866243379884367
ackley,6,2.2,random_search,generating_set_search,1,5.4050707540301,3.6195046959619503e-11
ackley,29,6.8,probabilistic_descent,adaptive_de_rand_1_bin_radiuslimited,1,15.736851349206976,3.552713678800501e-15
rosenbrock,24,5.8,generating_set_search,probabilistic_descent,0,6.713908957112063e-16,7.250443882538943e-12
ackley,123,25.6,adaptive_de_rand_1_bin_radiuslimited,probabilistic_descent,0,7.105427357601002e-15,18.97287903178279
griewank,155,32.0,generating_set_search,de_rand_2_bin,0,0.0,423.36080743919996
griewank,251,51.2,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,1,2.220446049250313e-16,0.0
deceptive_cuccu2011_15_2,34,7.8,probabilistic_descent,adaptive_de_rand_1_bin_radiuslimited,1,6.512981532256243e-19,3.1554436208840472e-30
griewank,43,9.6,de_rand_2_bin,adaptive_de_rand_1_bin_radiuslimited,0,0.0,0.007396040334114895
griewank,15,4.0,generating_set_search,probabilistic_descent,0,0.0,9.992007221626409e-16
rosenbrock,6,2.2,random_search,generating_set_search,1,1684.1129999048255,6.4215062710264295e-16
rosenbrock,62,13.4,adaptive_de_rand_1_bin_radiuslimited,de_rand_2_bin,0,1.0826499626576183e-27,1512.5357601025028
deceptive_cuccu2011_15_2,71,15.2,de_rand_2_bin,probabilistic_descent,1,3355.931303460742,2.4850611324420436e-18
griewank,12,3.4,generating_set_search,random_search,0,0.0,20.46425301195927
rosenbrock,100,21.0,adaptive_de_rand_1_bin_radiuslimited,random_search,0,3.9866238543009405,6.43256509900432e8
griewank,7,2.4,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,1,0.01724102091528279,0.007396040334115006
deceptive_cuccu2011_15_2,35,8.0,de_rand_2_bin,random_search,0,825.6866424220532,14543.433279267605
rosenbrock,56,12.2,random_search,probabilistic_descent,1,2.264112256389131e8,9.17278374868706e-11
